income_t_id,fiscal_date_ending,gross_profit,total_revenue,cost_of_revenue,costof_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,ebitda,net_income,symbol,sector,year,quarter,company_id,name
0,2023-12-31,27640000000,31253000000,3613000000,10256000000,4484000000,2277000000,0,4388000000,0,-1019000000,0,1019000000,0,243000000,2192000000,1336000000,4150000000,890000000,1019000000,3154000000,4532000000,5169000000,6505000000,3260000000,CMCSA,Comunicacion,2023,Q4,0,Comcast Corp
1,2023-09-30,26721000000,30115000000,3394000000,8653000000,6475000000,2104000000,0,3394000000,0,-1060000000,0,1060000000,30115000000,88000000,2203000000,1290000000,5514000000,1468000000,1060000000,3997000000,2953000000,6574000000,7864000000,4046000000,CMCSA,Comunicacion,2023,Q3,0,Comcast Corp
2,2023-06-30,26818000000,30513000000,3695000000,8849000000,6709000000,2352000000,0,3695000000,0,-998000000,0,998000000,30513000000,133000000,2195000000,1343000000,5785000000,1537000000,998000000,4189000000,4714000000,6783000000,8126000000,4248000000,CMCSA,Comunicacion,2023,Q2,0,Comcast Corp
3,2023-03-31,25920000000,29691000000,3771000000,9004000000,5646000000,2258000000,0,3771000000,0,-1010000000,0,1010000000,29691000000,128000000,2264000000,1513000000,5310000000,1476000000,1010000000,3767000000,4547000000,6320000000,7833000000,3834000000,CMCSA,Comunicacion,2023,Q1,0,Comcast Corp
4,2022-12-31,26800000000,30553000000,3753000000,9807000000,4530000000,2480000000,0,4511000000,0,-974000000,0,974000000,0,242000000,2199000000,1273000000,3820000000,797000000,974000000,2873000000,4969000000,4794000000,6067000000,3023000000,CMCSA,Comunicacion,2022,Q4,0,Comcast Corp
5,2022-09-30,17761000000,29849000000,12088000000,8950000000,-2425000000,2322000000,0,12088000000,0,-960000000,0,960000000,0,-21000000,2150000000,1183000000,-3584000000,1014000000,960000000,-4666000000,-6983000000,-2624000000,-1441000000,-4598000000,CMCSA,Comunicacion,2022,Q3,0,Comcast Corp
6,2022-06-30,26268000000,30016000000,3748000000,8888000000,6367000000,2442000000,0,3748000000,0,-968000000,0,968000000,0,-897000000,2162000000,1306000000,4657000000,1261000000,968000000,3241000000,552000000,5625000000,6931000000,3396000000,CMCSA,Comunicacion,2022,Q2,0,Comcast Corp
7,2022-03-31,27313000000,31010000000,3697000000,10570000000,5569000000,2362000000,0,3697000000,0,-993000000,0,993000000,0,188000000,2213000000,1335000000,4837000000,1288000000,993000000,3476000000,2744000000,5830000000,7165000000,3549000000,CMCSA,Comunicacion,2022,Q1,0,Comcast Corp
8,2021-12-31,24277000000,30336000000,6059000000,9880000000,4821000000,2477000000,0,6059000000,0,-1120000000,0,1120000000,0,185000000,2221000000,3582000000,3962000000,905000000,1120000000,2980000000,3209000000,5082000000,8664000000,3057000000,CMCSA,Comunicacion,2021,Q4,0,Comcast Corp
9,2021-09-30,24580000000,30298000000,5718000000,10395000000,5450000000,2241000000,0,5718000000,0,-1050000000,0,1050000000,0,766000000,2177000000,3477000000,5270000000,1235000000,1050000000,3931000000,3370000000,6320000000,9797000000,4035000000,CMCSA,Comunicacion,2021,Q3,0,Comcast Corp
10,2021-06-30,23030000000,28546000000,5516000000,9256000000,5507000000,2133000000,0,5516000000,0,-1093000000,0,1093000000,0,1216000000,2113000000,3383000000,5738000000,2000000000,1093000000,3630000000,3758000000,6831000000,10214000000,3738000000,CMCSA,Comunicacion,2021,Q2,0,Comcast Corp
11,2021-03-31,21920000000,27205000000,5285000000,8919000000,5039000000,1923000000,0,5285000000,0,-1018000000,0,1018000000,0,390000000,2117000000,3362000000,4448000000,1119000000,1018000000,3292000000,3417000000,5466000000,8828000000,3329000000,CMCSA,Comunicacion,2021,Q1,0,Comcast Corp
12,2020-12-31,27708000000,27708000000,5422000000,9438000000,3918000000,2170000000,0,5422000000,0,-1044000000,0,1044000000,0,1542000000,1992000000,3252000000,4359000000,979000000,1044000000,3918000000,5052000000,5403000000,8655000000,3380000000,CMCSA,Comunicacion,2020,Q4,0,Comcast Corp
13,2020-09-30,20455000000,25532000000,5077000000,8565000000,4076000000,1757000000,0,5254000000,0,-1220000000,0,1220000000,0,-86000000,2122000000,3320000000,2758000000,739000000,1220000000,2031000000,3510000000,3978000000,7298000000,2019000000,CMCSA,Comunicacion,2020,Q3,0,Comcast Corp
14,2020-06-30,18839000000,23715000000,4876000000,6817000000,4647000000,1612000000,0,4876000000,0,-1112000000,0,1112000000,0,420000000,2099000000,3264000000,3934000000,946000000,1112000000,3009000000,2853000000,5046000000,8310000000,2988000000,CMCSA,Comunicacion,2020,Q2,0,Comcast Corp
15,2020-03-31,21183000000,26609000000,5426000000,8301000000,4852000000,2162000000,0,5426000000,0,-1212000000,1938000000,1212000000,0,-716000000,2107000000,3264000000,2847000000,700000000,1212000000,2224000000,-44000000,4059000000,7323000000,2147000000,CMCSA,Comunicacion,2020,Q1,0,Comcast Corp
